lakename,lakeid,lake_number,lake_abbr_biocom,plotid,site,plot,zone,type,source,species,scientific_name,common_name,diameter,diameter_estimated,length,length_estimated,length_range_code,branchiness,decay,orientation,elevation,intersections,comment_code,comments
Day Lake,DA,62,DA,62611,6,A,1,LOG,N,UNK,,unknown,11.7,0,,,1,0,4,PERP,2,1,99,99=Misc note: 1 OBSERVER-MOST LOGS NAT. BUT NOT ALL COULD BE SEEN
Day Lake,DA,62,DA,62611,6,A,1,LOG,N,UNK,,unknown,19.3,0,,,1,0,4,OBL,0,1,99,99=Misc note: 1 OBSERVER-MOST LOGS NAT. BUT NOT ALL COULD BE SEEN
Day Lake,DA,62,DA,62611,6,A,1,LOG,N,UNK,,unknown,12.2,0,,,1,0,3,OBL,1,0,99,99=Misc note: 1 OBSERVER-MOST LOGS NAT. BUT NOT ALL COULD BE SEEN
Day Lake,DA,62,DA,62551,5,E,1,LOG,UNK,UNK,,unknown,25,0,,,3,0,3,PERP,1,0,0,
Day Lake,DA,62,DA,62551,5,E,1,LOG,N,UNK,,unknown,24,0,,,3,0,3,PERP,1,0,0,
Day Lake,DA,62,DA,62541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62531,5,C,1,LOG,N,CONIFER,,conifer,33.1,0,,,3,1,3,PERP,1,0,0,
Day Lake,DA,62,DA,62531,5,C,1,LOG,UNK,BEPA,Betula papyrifera ,paper birch,11.9,0,,,2,0,4,PERP,0,0,0,
Day Lake,DA,62,DA,62521,5,B,1,LOG,UNK,BEPA,Betula papyrifera ,paper birch,15.4,0,,,3,0,3,PARA,0,0,0,
Day Lake,DA,62,DA,62521,5,B,1,LOG,UNK,HARDWOOD,,hardwood,10.5,0,,,1,0,3,OBL,0,0,0,
Day Lake,DA,62,DA,62511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62431,4,C,1,LOG,UNK,BEPA,Betula papyrifera ,paper birch,10.8,0,,,1,0,3,PERP,1,0,0,
Day Lake,DA,62,DA,62431,4,C,1,LOG,N,CONIFER,,conifer,21.2,0,,,2,0,4,PARA,1,0,0,
Day Lake,DA,62,DA,62421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62411,4,A,1,LOG,UNK,CONIFER,,conifer,18.7,0,,,2,1,3,OBL,0,0,0,
Day Lake,DA,62,DA,62351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62341,3,D,1,LOG,B,POTR,Populus tremuloides ,quaking aspen,24.2,0,,,3,1,3,PERP,2,1,0,
Day Lake,DA,62,DA,62341,3,D,1,LOG,N,ACRU,Acer rubrum,red maple,23.4,0,,,3,3,2,PERP,2,3,0,
Day Lake,DA,62,DA,62341,3,D,1,LOG,UNK,UNK,,unknown,17.1,0,,,2,0,3,OBL,2,2,0,
Day Lake,DA,62,DA,62341,3,D,1,LOG,B,CONIFER,,conifer,16.4,0,,,3,0,3,OBL,3,3,0,
Day Lake,DA,62,DA,62331,3,C,1,LOG,N,POTR,Populus tremuloides ,quaking aspen,23.7,0,,,3,0,3,PERP,1,0,0,
Day Lake,DA,62,DA,62331,3,C,1,LOG,B,POGR,Populus grandidentata ,big tooth aspen,18.4,0,,,3,0,1,PERP,2,0,0,
Day Lake,DA,62,DA,62331,3,C,1,LOG,B,POGR,Populus grandidentata ,big tooth aspen,23.1,0,,,3,0,1,OBL,3,0,0,
Day Lake,DA,62,DA,62331,3,C,1,LOG,N,POGR,Populus grandidentata ,big tooth aspen,16.3,0,,,2,0,3,OBL,0,0,0,
Day Lake,DA,62,DA,62321,3,B,1,LOG,N,BEPA,Betula papyrifera ,paper birch,10.6,0,,,2,0,2,PERP,0,0,0,
Day Lake,DA,62,DA,62311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62231,2,C,1,LOG,N,PIST,Pinus strobus ,white pine,32.2,0,,,3,2,2,PERP,3,2,0,
Day Lake,DA,62,DA,62231,2,C,1,LOG,B,BEPA,Betula papyrifera ,paper birch,10,0,,,1,0,2,PERP,0,0,0,
Day Lake,DA,62,DA,62231,2,C,1,LOG,UNK,UNK,,unknown,13.2,0,,,1,0,3,OBL,0,1,99,99=Misc note: ATTACHED TO PREVIOUS LOG
Day Lake,DA,62,DA,62221,2,B,1,LOG,N,HARDWOOD,,hardwood,10.2,0,,,2,0,3,PERP,0,0,0,
Day Lake,DA,62,DA,62211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62151,1,E,1,LOG,N,HARDWOOD,,hardwood,18.3,0,,,3,0,3,OBL,0,2,0,
Day Lake,DA,62,DA,62151,1,E,1,LOG,UNK,UNK,,unknown,12.3,0,,,2,0,3,OBL,0,1,0,
Day Lake,DA,62,DA,62141,1,D,1,LOG,B,UNK,,unknown,16.6,0,,,2,0,3,PERP,0,0,0,
Day Lake,DA,62,DA,62131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Day Lake,DA,62,DA,62121,1,B,1,LOG,N,HARDWOOD,,hardwood,19.1,0,,,3,0,3,PERP,1,0,0,
Day Lake,DA,62,DA,62111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63621,6,B,1,LOG,UNK,UNK,,unknown,12.3,0,,,1,0,3,OBL,0,0,0,
Eagle Lake,EA,63,EA,63611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63531,5,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63521,5,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63451,4,E,1,LOG,N,UNK,,unknown,12.5,0,,,3,0,3,OBL,0,1,0,
Eagle Lake,EA,63,EA,63441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63411,4,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63551,5,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Eagle Lake,EA,63,EA,63431,4,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Erickson Lake,ER,47,ER,47111,1,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12.2,0,,,2,0,2,PERP,1,0,0,
Erickson Lake,ER,47,ER,47121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47141,1,D,1,LOG,U,UNK,,unknown,21.9,0,,,1,0,2,OBL,0,0,0,
Erickson Lake,ER,47,ER,47151,1,E,1,LOG,UNK,UNK,,unknown,11,0,,,1,0,4,PERP,0,0,0,
Erickson Lake,ER,47,ER,47211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47411,4,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47431,4,C,1,LOG,B,CONIFER,,conifer,10.9,0,,,1,0,3,PERP,0,0,0,
Erickson Lake,ER,47,ER,47431,4,C,1,LOG,N,UNK,,unknown,14,0,,,1,0,3,PERP,0,0,0,
Erickson Lake,ER,47,ER,47441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47521,5,B,1,LOG,N,CONIFER,,conifer,21.6,0,,,3,0,4,OBL,0,1,0,
Erickson Lake,ER,47,ER,47521,5,B,1,LOG,N,UNK,,unknown,24,0,,,2,0,3,OBL,0,0,0,
Erickson Lake,ER,47,ER,47531,5,C,1,LOG,N,CONIFER,,conifer,10.4,0,,,3,0,3,PERP,1,0,0,
Erickson Lake,ER,47,ER,47531,5,C,1,LOG,N,UNK,,unknown,22.6,0,,,1,0,4,OBL,0,1,0,
Erickson Lake,ER,47,ER,47551,5,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47621,6,B,1,LOG,N,QURU,Quercus rubra,northern red oak,13,0,,,2,2,3,PERP,2,0,99,99=Misc note: ATTACHED TO PREVIOUS LOG length= length to intersection w/ last log
Erickson Lake,ER,47,ER,47621,6,B,1,LOG,N,QURU,Quercus rubra,northern red oak,11.4,0,,,3,3,3,PERP,2,2,0,
Erickson Lake,ER,47,ER,47631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47721,7,B,1,LOG,N,BEPA,Betula papyrifera ,paper birch,11.3,0,,,2,0,2,OBL,0,0,0,
Erickson Lake,ER,47,ER,47731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47751,7,E,1,LOG,N,CONIFER,,conifer,14.2,0,,,2,0,3,PERP,0,0,0,
Erickson Lake,ER,47,ER,47751,7,E,1,LOG,N,CONIFER,,conifer,15,0,,,3,0,3,PERP,0,0,0,
Erickson Lake,ER,47,ER,47821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47541,5,D,1,LOG,N,UNK,,unknown,10.7,0,,,2,0,4,OBL,1,0,0,
Erickson Lake,ER,47,ER,47641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Erickson Lake,ER,47,ER,47721,7,B,1,LOG,U,PIST,Pinus strobus ,white pine,35.9,0,,,3,0,2,PERP,3,0,0,
Erickson Lake,ER,47,ER,47811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Escanaba Lake,ES,64,ES,64851,8,E,1,LOG,N,ACRU,Acer rubrum,red maple,20.4,0,,,3,1,3,PERP,2,4,0,
Escanaba Lake,ES,64,ES,64831,8,C,1,LOG,N,QURU,Quercus rubra,northern red oak,19.4,0,,,3,1,3,PERP,1,3,0,
Escanaba Lake,ES,64,ES,64831,8,C,1,LOG,N,UNK,,unknown,10.1,0,,,1,0,3,OBL,0,3,0,
Escanaba Lake,ES,64,ES,64821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64811,8,A,1,LOG,N,CONIFER,,conifer,16.8,0,,,3,1,3,PERP,2,2,0,
Escanaba Lake,ES,64,ES,64811,8,A,1,LOG,N,CONIFER,,conifer,16.1,0,,,2,1,2,PERP,0,1,0,
Escanaba Lake,ES,64,ES,64811,8,A,1,LOG,B,UNK,,unknown,14.6,0,,,1,0,3,PERP,3,2,0,
Escanaba Lake,ES,64,ES,64811,8,A,1,LOG,N,CONIFER,,conifer,13.4,0,,,3,0,3,PERP,2,2,0,
Escanaba Lake,ES,64,ES,64751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64731,7,C,1,LOG,N,UNK,,unknown,16.9,0,,,1,0,3,PERP,0,1,0,
Escanaba Lake,ES,64,ES,64731,7,C,1,LOG,N,HARDWOOD,,hardwood,13.1,0,,,3,1,3,OBL,3,3,0,
Escanaba Lake,ES,64,ES,64721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64641,6,D,1,LOG,B,UNK,,unknown,10.1,0,,,1,0,3,PERP,0,1,0,
Escanaba Lake,ES,64,ES,64631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64621,6,B,1,LOG,UNK,UNK,,unknown,17.5,0,,,2,0,3,PERP,0,1,0,
Escanaba Lake,ES,64,ES,64621,6,B,1,LOG,UNK,UNK,,unknown,21.8,0,,,1,0,3,PARA,0,1,0,
Escanaba Lake,ES,64,ES,64611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64531,5,C,1,LOG,UNK,UNK,,unknown,24.5,0,,,3,0,3,PARA,1,1,0,
Escanaba Lake,ES,64,ES,64531,5,C,1,LOG,N,CONIFER,,conifer,28.8,0,,,3,0,3,OBL,1,0,0,
Escanaba Lake,ES,64,ES,64531,5,C,1,LOG,N,UNK,,unknown,26.4,0,,,3,0,3,OBL,0,1,0,
Escanaba Lake,ES,64,ES,64521,5,B,1,LOG,N,UNK,,unknown,32.5,0,,,2,0,3,PERP,1,0,0,
Escanaba Lake,ES,64,ES,64521,5,B,1,LOG,UNK,CONIFER,,conifer,28.1,0,,,3,0,3,PARA,0,2,0,
Escanaba Lake,ES,64,ES,64521,5,B,1,LOG,N,CONIFER,,conifer,15.8,0,,,3,0,4,PARA,3,0,0,
Escanaba Lake,ES,64,ES,64521,5,B,1,LOG,N,CONIFER,,conifer,27.1,0,,,3,0,3,OBL,3,1,0,
Escanaba Lake,ES,64,ES,64511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64431,4,C,1,LOG,N,PIST,Pinus strobus ,white pine,52.8,0,,,3,3,1,PERP,3,0,0,
Escanaba Lake,ES,64,ES,64421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64411,4,A,1,LOG,N,CONIFER,,conifer,12.9,0,,,3,1,1,OBL,2,2,0,
Escanaba Lake,ES,64,ES,64351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64321,3,B,1,LOG,N,BEPA,Betula papyrifera ,paper birch,28.4,0,,,3,1,2,PERP,2,1,0,
Escanaba Lake,ES,64,ES,64311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64251,2,E,1,LOG,N,UNK,,unknown,12.5,0,,,1,0,4,PERP,0,,99,99=Misc note: CANT TELL # OF INTERSECTIONS
Escanaba Lake,ES,64,ES,64251,2,E,1,LOG,N,UNK,,unknown,17,0,,,1,0,4,PERP,0,1,0,
Escanaba Lake,ES,64,ES,64251,2,E,1,LOG,N,UNK,,unknown,12.4,0,,,2,0,3,OBL,1,2,0,
Escanaba Lake,ES,64,ES,64241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64231,2,C,1,LOG,UNK,UNK,,unknown,15.4,0,,,,,,,,,7,7 = Transect in wrong place: TOO MUCKY -BEAVER LODGE -  NO .5m CONTOUR
Escanaba Lake,ES,64,ES,64221,2,B,1,LOG,N,UNK,,unknown,14.6,0,,,1,0,4,OBL,3,3,7,7 = Transect in wrong place: NO .5m CONTOUR -TOO DEEP
Escanaba Lake,ES,64,ES,64211,2,A,1,OTHER,UNK,LALA,Larix laricina ,"larch, tamarack",11.8,0,,,1,3,0,PERP,1,1,99,99=Misc note: ROOT OF LIVING TREE
Escanaba Lake,ES,64,ES,64151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64141,1,D,1,LOG,N,CONIFER,,conifer,35.7,0,,,3,0,3,PERP,1,4,0,
Escanaba Lake,ES,64,ES,64141,1,D,1,LOG,N,CONIFER,,conifer,11.1,0,,,3,0,3,PERP,0,1,0,
Escanaba Lake,ES,64,ES,64131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64121,1,B,1,LOG,N,HARDWOOD,,hardwood,16,0,,,3,1,2,PERP,0,3,0,
Escanaba Lake,ES,64,ES,64111,1,A,1,LOG,N,PIST,Pinus strobus ,white pine,22.3,0,,,3,1,3,PERP,1,0,0,
Escanaba Lake,ES,64,ES,64841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64811,8,A,1,LOG,N,CONIFER,,conifer,15.1,0,,,3,1,3,PERP,2,3,0,
Escanaba Lake,ES,64,ES,64551,5,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64521,5,B,1,LOG,N,CONIFER,,conifer,37.1,0,,,3,0,3,PARA,0,0,0,
Escanaba Lake,ES,64,ES,64451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Escanaba Lake,ES,64,ES,64211,2,A,1,LOG,N,UNK,,unknown,10.7,0,,,1,1,3,PARA,1,1,0,
Escanaba Lake,ES,64,ES,64121,1,B,1,LOG,N,UNK,,unknown,25,0,,,2,0,3,PERP,2,0,0,
Found Lake,FO,32,FO,32111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32311,3,A,1,LOG,N,CONIFER,,conifer,10.4,0,,,2,0,3,PERP,0,2,99,99=Misc note: MANY ROOT MASSES FROM FALLEN TREES
Found Lake,FO,32,FO,32311,3,A,1,LOG,N,CONIFER,,conifer,13.7,0,,,2,0,3,PARA,2,3,99,99=Misc note: MANY ROOT MASSES FROM FALLEN TREES
Found Lake,FO,32,FO,32321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: STUMP PRESENT IN TRANSECT
Found Lake,FO,32,FO,32331,3,C,1,LOG,N,CONIFER,,conifer,10,0,,,2,0,3,PARA,2,2,0,
Found Lake,FO,32,FO,32341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32411,4,A,1,LOG,N,CONIFER,,conifer,10.7,0,,,2,0,3,OBL,0,1,0,
Found Lake,FO,32,FO,32411,4,A,1,LOG,N,CONIFER,,conifer,16.3,0,,,3,2,4,OBL,3,2,0,
Found Lake,FO,32,FO,32411,4,A,1,LOG,N,CONIFER,,conifer,16.6,0,,,3,1,2,OBL,3,3,0,
Found Lake,FO,32,FO,32411,4,A,1,LOG,N,CONIFER,,conifer,16.9,0,,,1,0,2,OBL,3,4,0,
Found Lake,FO,32,FO,32421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 2 stumps just past 0.5 m at border of c& B
Found Lake,FO,32,FO,32431,4,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Found Lake,FO,32,FO,32511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
